category,subcategory,note
銅,1号銅（ピカ銅）,線材直径1.3mm以上の純銅で、錫メッキ・エナメル塗装・表面劣化等のないもの。針金・紙・テープが付いた場合はピカ銅になりません。
銅,2号銅（並銅）,線材直径1.3mm以上の純銅で、表面に酸化があるもの。針金・紙・テープの付いていないもの。
銅,並銅,銅パイプ（タケノコ式ジョイント箇所）や自動車パイプで径5mm以上の銅平板が含まれるもの。
銅,込銅,銅パイプに真鍮や溶接箇所のあるもの。
銅,錫(スズ)銅線,線材直径1.3mm以上の純銅で、錫(スズ)メッキのもの。メッキのため茶色になっている。通常の銅より価格が低い。
銅,赤釜,給湯器の銅製部品。全体にダストが付いている場合は減額になります。
銅,白釜,給湯器の銅製部品。全体にダストが付いている場合は減額になります。
銅,皮付線（エアコンホース）,被覆に分けられたエアコンホース。
銅,ダライ・切粉,お問い合わせください。一部品種の買取りが出来ない場合があります。
電線,1本線（高）,1本線の上級品(60mm、100mm、150mm、200mm以上)等が相当します。被覆が容易に剥くことができないものは減額or買取りできないことがあります。
電線,1本線（中）,1本線の中級品(22mm、38mm)等が相当します。3.5mm〜14mmの1本線は下級品として買取りします。
電線,1本線（低）,1本線(IV、CVT等)の下級品(3.5mm〜14mm)等が相当します。2mm以下の1本線等は「家電線」として買取りします。
電線,3本線（高）,3本線(60mm2、100mm、150mm、200mm以上)の上級品等が相当します。被覆が容易に剥くことができないものは減額or買取りできないことがあります。
電線,3本線（中）,3本線(22mm、38mm)の中級品等が相当します。3.5mm〜14mmの3本線は下級品として買取りします。
電線,3本線（低）,3本線(SV、CV等)の下級品(3.5mm〜14mm等)が相当します。被覆が容易に剥くことができないものは減額or買取りできないことがあります。
電線,VA線（VVFケーブル）,VA線(Fケーブル、灰色の平たい線)等が相当します。内部に含まれる銅線の1本あたりの太さが1.3mm以上あるものとなります。
電線,家電線,家電製品の電力供給用として広く使われている電線。銅率は30〜35%前後のもの。先端のプラグ部分は付いていても問題ありません。ACアダプタやタップ等はダスト扱いとなり減額が生じます。
電線,ハーネス,ワイヤーハーネス(ケーブルハーネス)とも呼ばれます。自動車の内部に含まれている電線で、内線が銅であるものに限ります。
バッテリー,車用,大型車両のバッテリーも買取ります。動作しなくても買取ります。鉛の含まれていないものは取り扱いできません。
バッテリー,工業用,動作しなくても買取ります。鉛の含まれていないものは取扱いできません。
バッテリー,フォークリフト用,動作しなくても買取ります。鉛の含まれていないものは取り扱いできません。
バッテリー,シールドバッテリー,液の入替えをしない密閉型鉛電池です。動作しなくても買取ります。鉛の含まれていないものは取り扱いできません。
バッテリー,バイク用,動作しなくても買取ります。鉛の含まれていないものは取り扱いできません。
真鍮・砲金,タカウイ,銅と亜鉛の化合物で、真鍮100％で不純物がないもの。真鍮以外の異物が付いているものやメッキ品等は混真鍮として扱います。
真鍮・砲金,混タカウイ,鋳物真鍮、メッキ真鍮等の混ざりもので、蛇口やバルブ等が相当します。プラスチック、鉄、アルミ、丹入等のダストが多い場合減額になります。真鍮製の仏具や置物なども買取りできます。
真鍮・砲金,タカウイダライ,ダライ粉については、要お問合せ下さい。金額の査定が行えない場合があります。
真鍮・砲金,砲金（付物なし）,銅とスズと鉛の合金です。水道メーターの容器、バルブ、ナット等が相当します。100％砲金で不純物の無いものに限ります。
真鍮・砲金,バルブ砲金,バルブ(弁)等で、外側の本体が砲金で、芯棒は真鍮のものです。砲金にメッキ加工されているものも含みます。
真鍮・砲金,砲金ダライ,ダライ粉については、要お問合せ下さい。金額の査定が行えない場合があります。
モーター,MIX,工業用や家電品に使われているモーターです。エアコンや冷蔵庫に含まれている黒モーターも買取りします。水中ポンプや電動工具等もモーターとして買取りします。
モーター,セルモーター,自動車用のセルモーターです。リユース品として買取ります。留具、ボディが破損し、二次利用できないものは減額させていただきます。
モーター,コンプレッサー,自動車用のコンプレッサーです。リユース品として買取ります。留具、ボディが破損し、二次利用できないものは減額させていただきます。
モーター,ダイナモ,自動車の発電機です。リユース品として買取ります。留具、ボディが破損し、二次利用できないものは減額させていただきます。
ラジエター,エアコン（ゴルフ）,エアコンの内部にあるラジエーターです。アルミニウムのフィン(羽)の中に銅管が通っているもの。
ラジエター,エアコン（ゴム）,エアコンの内部にあるラジエーターです。鉄の部分を取り除き、アルミニウムのフィン(羽)と銅管だけにしたもの。
ラジエター,アルミ（トン）,自動車用のラジエーターです。フィン(羽)と管ともにアルミニウム製のもの。
ラジエター,アルミ（トラック）,自動車用のラジエーターです。外枠を取り除きアルミ製のフィン(羽)と管だけにしたもの。
ラジエター,タカウイorアルミ,自動車用のラジエーターです。羽が銅、管が真鍮、あるいは羽が真鍮、管が銅でできているもの。
