category,subcategory,price,unit,note,updated_at
銅,1号銅（ピカ銅）,,円/kg,,
銅,2号銅（並銅）,,円/kg,,
銅,並銅,,円/kg,,
銅,込銅,,円/kg,,
銅,錫(スズ)銅線,,円/kg,,
銅,赤釜,,円/kg,ダスト付は減額,
銅,白釜,,円/kg,ダスト付は減額,
銅,皮付線（エアコンホース）,,円/kg,,
銅,ダライ・切粉,要問合せ,,お電話ください,
電線,1本線（高）,,円/kg,,
電線,1本線（中）,,円/kg,,
電線,1本線（低）,,円/kg,,
電線,3本線（高）,,円/kg,,
電線,3本線（中）,,円/kg,,
電線,3本線（低）,,円/kg,,
電線,VA線（VVFケーブル）,,円/kg,,
電線,家電線,,円/kg,,
電線,ハーネス,,円/kg,,
バッテリー,車用,,円/kg,,
バッテリー,工業用,,円/kg,,
バッテリー,フォークリフト用,,円/kg,,
バッテリー,シールドバッテリー,,円/kg,,
バッテリー,バイク用,,円/kg,,
真鍮・砲金,タカウイ,,円/kg,,
真鍮・砲金,混タカウイ,,円/kg,,
真鍮・砲金,タカウイダライ,,円/kg,,
真鍮・砲金,砲金（付物なし）,,円/kg,,
真鍮・砲金,バルブ砲金,,円/kg,,
真鍮・砲金,砲金ダライ,,円/kg,,
モーター,MIX,,円/kg,,
モーター,セルモーター,,円/kg,,
モーター,コンプレッサー,,円/kg,,
モーター,ダイナモ,,円/kg,,
ラジエター,エアコン（ゴルフ）,,円/kg,,
ラジエター,エアコン（ゴム）,,円/kg,,
ラジエター,アルミ（トン）,,円/kg,,
ラジエター,アルミ（トラック）,,円/kg,,
ラジエター,タカウイorアルミ,要問合せ,,お電話ください,
鉛,鉛,,円/kg,,
鉛,鉛板,,円/kg,,
鉛,鉛管,,円/kg,,
鉛,バランスウエイト（車）,,円/kg,,
鉛,バランスウエイト（二輪）,,円/kg,,
ホイール,ホイール線（フル）,,円/kg,,
ホイール,ホイールPP（フル含）,,円/kg,,
特殊金属,ユニッケル線,要問合せ,,,
特殊金属,ニクロム線,要問合せ,,,
特殊金属,ニッタン線,要問合せ,,,
特殊金属,ノズル,要問合せ,,,
特殊金属,合金(スズ),要問合せ,,,
特殊金属,炉材,要問合せ,,,
特殊金属,ハニーブデン,要問合せ,,,
特殊金属,重電,要問合せ,,,
その他,ステンレス,要問合せ,,,
その他,給湯器,要問合せ,,,
その他,エアコン,要問合せ,,,
その他,家庭用ガラ,要問合せ,,,
その他,工業用ガラ,要問合せ,,,
その他,安定器,要問合せ,,,
その他,基板,要問合せ,,,
